weaviate	11395	CONFIRMED	dynamicEfMin=500 > dynamicEfMax=10 accepted http=200 and stored as-is; HNSW dynamic ef requires min<=max
weaviate	11396	CONFIRMED	flatSearchCutoff=-100 accepted http=200 and stored; documented non-negative threshold violated
weaviate	11397	CONFIRMED	replicationFactor=-1 accepted http=200 and silently normalized to 1; documented positive integer >=1
weaviate	11398	CONFIRMED	bq.rescoreLimit=-1 accepted http=200 and silently discarded; documented non-negative count
weaviate	11399	CONFIRMED	dynamicEfMin=500 > dynamicEfMax=10 accepted http=200; same dynamic-ef range contract violated
weaviate	11400	CONFIRMED	flatSearchCutoff=-100 accepted http=200; non-negative threshold contract violated
weaviate	11401	CONFIRMED	replicationFactor=-1 accepted http=200 normalized to 1; positive-integer contract violated
weaviate	11402	FALSE_POSITIVE	bq.rescoreLimit=-1 discarded http=200 but no contract cited in evidence to substantiate the violation
weaviate	11433	CONFIRMED	HNSW ef=-1 accepted http=200 stored ef=-1; ef documented as positive integer
weaviate	11436	FALSE_POSITIVE	HNSW ef=-1 accepted http=200 but no contract cited in evidence to substantiate the violation
weaviate	11660	FALSE_POSITIVE	GET objects limit=-1 returns http=200 with empty list; no documented minimum contract, harmless empty result
weaviate	11661	CONFIRMED	GET objects limit=10001 over QUERY_MAXIMUM_RESULTS returns http=500 instead of 4xx; predictable validation error mapped to server error
weaviate	11729	CONFIRMED	desiredCount=0 rejected 422 but desiredCount=-1 accepted http=200; positive-integer contract violated and inconsistent with the 0 rejection
weaviate	11730	CONFIRMED	tokenization='' accepted http=200; OpenAPI defines an explicit enum, empty string violates it
weaviate	11731	CONFIRMED	deletionStrategy='' accepted http=200; OpenAPI defines a 3-value enum, empty string violates it
weaviate	11732	CONFIRMED	distance=null accepted http=200 and silently defaulted to cosine; documented valid distances exclude null
weaviate	11734	CONFIRMED	autoTenantCreation/Activation=null accepted http=200; OpenAPI defines these as boolean, null violates the type
weaviate	11735	CONFIRMED	int64 max 9223372036854775807 stored as 9223372036854776000; int64 round-trip contract violated by precision loss
weaviate	11736	FALSE_POSITIVE	blob non-base64 garbage stored http=200; doc describes base64 format but promises no rejection, permissive storage design
weaviate	11737	CONFIRMED	date year 0000 and pre-1970 accepted http=200; contract cites RFC3339 which forbids year 0000
weaviate	11738	CONFIRMATED	phone.defaultCountry=ZZ accepted http=200; ZZ is ISO 3166-1 reserved/not-assigned, not a valid country code
weaviate	11739	FALSE_POSITIVE	phone.input with alphabetic chars accepted http=200 and normalized to digits; normalization feature working as documented
weaviate	11740	FALSE_POSITIVE	control GraphQL limit=0 also returns http=200; no consistent rejection observed, appears permissive design rather than contract violation
weaviate	11741	CONFIRMED	tenant activityStatus='' accepted http=200; OpenAPI defines ACTIVE/INACTIVE enum, empty violates it
weaviate	11742	CONFIRMED	pq.bitCompression='true' (string) accepted http=200 and silently coerced to False; OpenAPI defines boolean type
weaviate	11743	FALSE_POSITIVE	POST object with raw NUL byte in text_field rejected http=400; server properly validates, claim not reproduced
weaviate	11744	CONFIRMED	lone UTF-16 surrogate in text accepted http=200; RFC 8259 requires rejecting ill-formed surrogates
weaviate	11745	FALSE_POSITIVE	POST object with raw control bytes 0x01 0x02 0x03 rejected http=400; server properly validates, claim not reproduced
weaviate	11981	CONFIRMED	batch empty-vector item accepted http=200; data_types.vector documented min_length=1 (non-empty), empty violates
weaviate	12041	CONFIRMED	batch delete with missing/empty match returns http=500 instead of 422; documented validation error mapped to server error
