milvus	47635	FALSE_POSITIVE	search succeeded code=0 on all attempts; reported failure not reproduced
milvus	47729	CONFIRMED	nprobe documented 'positive integer' but nprobe=0 returned 10 results code=0
milvus	47763	CONFIRMED	resource names must start with letter/underscore but '123field'/'@field' accepted then unreadable
milvus	47766	CONFIRMED	int accepted into VARCHAR dynamic field; query shows mixed types stored
milvus	47767	FALSE_POSITIVE	empty query vector correctly rejected code=65535
milvus	49059	CONFIRMED	cosine distance 1.0000002 exceeds documented [-1,1] bound on 11 queries
milvus	49823	CONFIRMED	nprobe=0 accepted code=0 while limit=0 rejected; inconsistent validation
milvus	49824	FALSE_POSITIVE	duplicate create returns code=0; no documented already-exists error contract, idempotent by design
milvus	49843	CONFIRMED	create accepts negative TTL code=0 but alter_properties rejects code=1100; inconsistent
milvus	49844	CONFIRMED	filter documented required but filter=null/omitted returns all rows code=0
milvus	49849	CONFIRMED	duplicate-PK insert reports insertCount=1 for an overwrite; misleading insert semantics
milvus	49850	FALSE_POSITIVE	describe indexes without indexName properly rejected code=1802; REST requires indexName
milvus	49889	CONFIRMED	dbName documented as 'name of existing database' but empty string accepted code=0
milvus	49890	CONFIRMED	Request-Timeout documented integer but float 3.5 and string abc accepted code=0
milvus	49928	FALSE_POSITIVE	dim=32768 accepted, dim=32769 rejected; no documented max violated, DoS claim is opinion
milvus	49929	CONFIRMED	REST create_index code=100 vs SDK code=65535 for same operation; internal inconsistency
milvus	49930	CONFIRMED	ef=-1/0 and nprobe=0 accepted code=0; limit validated but searchParams not, inconsistent
milvus	50018	CONFIRMED	aliases/list accepts empty collectionName code=0 while collections/describe rejects code=1802
milvus	50192	CONFIRMED	concurrent rename and create to same name both succeed code=0; ambiguous state
milvus	50193	CONFIRMED	get_stats rowCount=0 while query returns 5 rows after insert+load; internal inconsistency
milvus	50194	CONFIRMED	search returns deleted ids 1-5 after deletion; read-after-delete violated
milvus	50305	CONFIRMED	search on never-loaded collection returns code=0 with results; documented load requirement bypassed
milvus	50306	FALSE_POSITIVE	duplicate create code=0; no documented error contract, 'Illegal Success' is opinion
milvus	50307	CONFIRMED	drop non-existent returns code=0 but doc defines code=4 CollectionNotExists
milvus	50308	CONFIRMED	delete documents filter/ids mutually exclusive but both accepted code=0
milvus	50309	CONFIRMED	invalid consistencyLevel silently defaults to Bounded instead of rejection
milvus	50310	CONFIRMED	docs state 100 entities per call but 101 accepted code=0 insertCount=101
milvus	50311	FALSE_POSITIVE	Unicode-only collection name correctly rejected code=1100
milvus	50312	FALSE_POSITIVE	rename to own name correctly rejected code=1100
milvus	50313	CONFIRMED	search and query on never-loaded collection return code=0 with data; load requirement bypassed
milvus	50314	FALSE_POSITIVE	duplicate create code=0; no documented already-exists contract substantiated
milvus	50315	FALSE_POSITIVE	drop non-existent code=0; no contract cited substantiating a required error
milvus	50316	FALSE_POSITIVE	delete with filter+ids code=0; no contract cited substantiating mutual exclusivity
milvus	50317	FALSE_POSITIVE	insert 101 entities code=0; no contract cited for a 100-entity limit
milvus	50318	CONFIRMED	naming convention requires letter start but leading-underscore name accepted code=0
milvus	50319	FALSE_POSITIVE	search on unloaded code=0; no contract cited substantiating load requirement
milvus	50321	FALSE_POSITIVE	duplicate create code=0; no contract cited substantiating required error
milvus	50322	FALSE_POSITIVE	drop non-existent code=0; no contract cited substantiating required error
milvus	50323	FALSE_POSITIVE	delete with filter+ids code=0; no contract cited substantiating mutual exclusivity
milvus	50324	FALSE_POSITIVE	insert 101 entities code=0; no contract cited for a 100-entity limit
milvus	50325	FALSE_POSITIVE	collection name with leading underscore accepted; no contract cited in evidence
milvus	50351	CONFIRMED	shardsNum=0/-1/65535 accepted code=0; documented default num_shards=1 implies min 1
milvus	50352	CONFIRMED	metricType empty and consistencyLevel None accepted code=0; documented enums not enforced
milvus	50353	CONFIRMED	invalid search params return HTTP 200 with error only in body code=65535/1801; should be 4xx
milvus	50354	CONFIRMED	password doc requires 3 char types but all-lowercase accepted code=0; short rejected code=1100
milvus	50355	CONFIRMED	upsert doc claims autoID support but impl rejects code=1804; doc-impl inconsistency
milvus	51084	CONFIRMED	invalid consistencyLevel silently substituted to Bounded instead of rejection
milvus	51085	CONFIRMED	invalid vectorFieldType silently substituted to FloatVector instead of rejection
milvus	52307	CONFIRMED	REST upsert bare string into JSON field code=0; gRPC get fails to read it; round-trip broken
milvus	52308	CONFIRMED	REST insert string PK code=0 while gRPC rejects DataNotMatch; REST/gRPC inconsistency
milvus	52309	CONFIRMED	REST search groupSize=0 code=0 while gRPC rejects; inconsistent validation
milvus	52310	CONFIRMED	REST coerces string to Int64 and int to VarChar code=0; distinct types not enforced
milvus	52311	CONFIRMED	REST search groupByField=vector code=0 while gRPC rejects; grouping by scalar only
milvus	52312	CONFIRMED	REST upsert string PK code=0 while gRPC rejects; same coercion gap on upsert
milvus	52313	CONFIRMED	REST plain-string into JSON stored code=0; gRPC cannot read it; round-trip broken
milvus	52314	CONFIRMED	REST coerces string to DOUBLE/BOOL and int to BOOL code=0; distinct types not enforced
milvus	52315	CONFIRMED	REST string-encoded vector accepted code=0 while gRPC rejects; format contract violated
milvus	52325	CONFIRMED	strictGroupSize=true with groupSize=5 returned 15 results; documented cap not enforced
milvus	49843	CONFIRMED	(create) negative TTL accepted on create but rejected on alter; inconsistent validation
milvus	47636	FALSE_POSITIVE	setup failed DataNotMatchException; no evidence collected substantiating the claim
milvus	47752	CONFIRMED	HNSW doc: ef must be positive integer, but ef=0 returned 10 results code=0
milvus	47755	CONFIRMED	descending IN range and empty IN range accepted code=0; filter semantic validation missing
